16,17,18,17,18,17,18,17,18,17,18,17,18,17,18,17,18,17,18,17,18,17,18,17,18,17,18,17,18,17,18,17,18,17,18,17,18,17,18,17,18,17,18,17,18,17,18,17,18,17,18,17,18,17,18,17,18,17,18,17,18,17,18,17,18,17,18,17,18,17,18,17,18,17,18,17,18,17,18,17,18,17,18,17,18,17,18,17,18,17,18,17,18,17,18,17,18,17,18,17,18,17,18,17,18,17,18,17,18,17,18,17,18,17,18,17,18,17,18,17,18,17,18,17,19
24,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,25,26,26,25,26,27
24,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,33,34,26,33,34,27
32,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,25,26,34,25,26,35
32,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,34,33,34,27
24,26,25,26,25,26,25,26,42,41,42,41,42,41,42,41,42,41,42,41,42,41,42,41,42,41,42,41,42,41,42,41,42,41,42,41,42,41,42,41,42,41,42,41,42,41,42,41,42,41,42,41,42,41,42,41,42,41,42,41,42,41,42,41,42,41,42,41,42,41,42,41,42,41,42,41,42,41,42,41,42,41,42,41,42,41,42,41,42,41,42,41,42,41,42,41,42,41,42,41,42,41,42,41,42,41,42,41,42,41,42,41,42,41,42,41,26,26,25,26,26,25,26,25,35
32,34,33,34,33,34,33,27,21,21,21,20,20,20,20,20,21,20,20,20,20,20,21,20,21,20,20,20,21,20,20,20,21,20,20,20,20,20,20,21,20,20,20,21,20,21,20,21,21,21,21,20,21,20,21,20,21,20,21,20,21,20,20,20,21,21,21,20,20,21,20,20,20,21,20,20,20,20,20,20,20,21,21,21,20,20,21,21,20,20,20,20,20,20,20,21,20,20,20,21,20,21,21,20,20,20,21,20,21,20,20,20,21,20,20,20,32,33,34,33,34,33,34,33,27
24,26,25,26,25,26,25,35,20,21,20,20,20,20,20,20,20,20,20,20,20,20,21,21,20,20,21,20,21,20,21,20,21,20,21,21,20,20,20,21,20,20,20,20,20,21,21,20,20,20,20,21,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,21,21,21,21,20,20,20,20,20,20,20,20,20,20,20,21,20,20,20,20,20,20,20,20,21,20,20,20,20,21,20,20,20,21,20,20,20,21,20,21,20,21,20,20,20,21,21,24,25,26,25,26,25,26,25,35
32,34,33,34,33,34,33,27,21,20,21,21,20,20,20,21,20,20,20,21,20,20,20,20,20,20,21,20,20,20,20,20,20,20,20,20,20,20,20,20,21,20,20,21,20,20,20,21,20,21,20,21,20,20,21,20,21,20,20,20,21,20,20,20,20,21,21,21,20,20,20,20,20,20,20,20,20,21,21,20,21,20,20,21,1,1,1,1,1,1,1,1,2,20,20,20,20,20,21,21,20,21,21,20,21,20,20,20,20,20,21,21,20,20,20,20,32,33,34,33,34,33,34,33,27
24,26,25,26,25,26,25,35,21,21,21,20,20,20,21,21,20,21,20,21,21,20,21,21,20,20,21,20,20,21,21,21,20,21,20,20,20,20,21,20,20,20,21,21,20,21,20,20,20,21,20,20,21,20,20,21,20,20,21,21,20,21,20,20,21,20,20,20,20,20,20,20,20,20,20,20,20,20,21,21,20,1,1,1,4,3,3,3,3,3,4,3,3,1,1,1,2,20,20,21,21,21,20,21,20,21,21,20,20,20,21,20,21,20,20,21,24,25,26,25,26,25,26,25,35
